2026-03-09 14:08:27 -04:00: 
2026-03-09 14:08:27 -04:00: > mission-control@0.1.0 dev
2026-03-09 14:08:27 -04:00: > PORT=3333 next dev
2026-03-09 14:08:27 -04:00: 
2026-03-09 14:08:28 -04:00: ▲ Next.js 16.1.6 (Turbopack)
2026-03-09 14:08:28 -04:00: - Local:         http://localhost:3333
2026-03-09 14:08:28 -04:00: - Network:       http://192.168.5.41:3333
2026-03-09 14:08:28 -04:00: - Environments: .env
2026-03-09 14:08:28 -04:00: 
2026-03-09 14:08:28 -04:00: ✓ Starting...
2026-03-09 14:08:28 -04:00: ✓ Ready in 603ms
2026-03-09 14:10:44 -04:00:  GET /api/costs/live 200 in 4ms (compile: 979µs, render: 3ms)
2026-03-09 14:10:47 -04:00:  GET /api/agents/status 200 in 5ms (compile: 3ms, render: 2ms)
2026-03-09 14:10:47 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 14ms (compile: 961µs, render: 13ms)
2026-03-09 14:10:48 -04:00:  GET /api/activity/stats 200 in 7ms (compile: 838µs, render: 6ms)
2026-03-09 14:10:49 -04:00:  GET /api/costs/live 200 in 4ms (compile: 964µs, render: 3ms)
2026-03-09 14:10:54 -04:00:  GET /api/costs/live 200 in 8ms (compile: 1990µs, render: 6ms)
2026-03-09 14:10:57 -04:00:  GET /api/agents/status 200 in 11ms (compile: 3ms, render: 8ms)
2026-03-09 14:10:57 -04:00:  GET /api/agents/status 200 in 3ms (compile: 742µs, render: 3ms)
2026-03-09 14:10:57 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 20ms (compile: 7ms, render: 13ms)
2026-03-09 14:10:58 -04:00:  GET /api/activity/stats 200 in 7ms (compile: 822µs, render: 6ms)
2026-03-09 14:10:59 -04:00:  GET /api/costs/live 200 in 8ms (compile: 3ms, render: 5ms)
2026-03-09 14:11:04 -04:00:  GET /api/costs/live 200 in 8ms (compile: 3ms, render: 5ms)
2026-03-09 14:11:07 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 11ms (compile: 2ms, render: 9ms)
2026-03-09 14:11:07 -04:00:  GET /api/agents/status 200 in 13ms (compile: 6ms, render: 6ms)
2026-03-09 14:11:07 -04:00:  GET /api/activity/stats 200 in 5ms (compile: 860µs, render: 4ms)
2026-03-09 14:11:09 -04:00:  GET /api/costs/live 200 in 8ms (compile: 2ms, render: 6ms)
2026-03-09 14:11:14 -04:00:  GET /api/costs/live 200 in 8ms (compile: 3ms, render: 5ms)
2026-03-09 14:11:17 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 12ms (compile: 2ms, render: 10ms)
2026-03-09 14:11:17 -04:00:  GET /api/agents/status 200 in 6ms (compile: 1467µs, render: 5ms)
2026-03-09 14:11:17 -04:00:  GET /api/activity/stats 200 in 5ms (compile: 868µs, render: 4ms)
2026-03-09 14:11:19 -04:00:  GET /api/costs/live 200 in 7ms (compile: 2ms, render: 5ms)
2026-03-09 14:11:24 -04:00:  GET /api/costs/live 200 in 8ms (compile: 3ms, render: 5ms)
2026-03-09 14:11:27 -04:00:  GET /api/agents/status 200 in 12ms (compile: 4ms, render: 8ms)
2026-03-09 14:11:27 -04:00:  GET /api/agents/status 200 in 3ms (compile: 793µs, render: 2ms)
2026-03-09 14:11:27 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 17ms (compile: 5ms, render: 12ms)
2026-03-09 14:11:27 -04:00:  GET /api/activity/stats 200 in 8ms (compile: 831µs, render: 7ms)
2026-03-09 14:11:28 -04:00:  GET /api/activity/stats 200 in 5ms (compile: 633µs, render: 4ms)
2026-03-09 14:11:29 -04:00:  GET /api/costs/live 200 in 7ms (compile: 2ms, render: 5ms)
2026-03-09 14:11:34 -04:00:  GET /api/costs/live 200 in 9ms (compile: 3ms, render: 6ms)
2026-03-09 14:11:37 -04:00:  GET /api/agents/status 200 in 11ms (compile: 7ms, render: 4ms)
2026-03-09 14:11:37 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 20ms (compile: 3ms, render: 17ms)
2026-03-09 14:11:38 -04:00:  GET /api/activity/stats 200 in 6ms (compile: 878µs, render: 5ms)
2026-03-09 14:11:39 -04:00:  GET /api/costs/live 200 in 8ms (compile: 2ms, render: 6ms)
2026-03-09 14:11:44 -04:00:  GET /api/costs/live 200 in 7ms (compile: 2ms, render: 5ms)
2026-03-09 14:11:47 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 12ms (compile: 3ms, render: 9ms)
2026-03-09 14:11:47 -04:00:  GET /api/agents/status 200 in 12ms (compile: 7ms, render: 5ms)
2026-03-09 14:11:47 -04:00:  GET /api/activity/stats 200 in 5ms (compile: 1240µs, render: 4ms)
2026-03-09 14:11:49 -04:00:  GET /api/costs/live 200 in 7ms (compile: 2ms, render: 5ms)
2026-03-09 14:11:54 -04:00:  GET /api/costs/live 200 in 8ms (compile: 2ms, render: 5ms)
2026-03-09 14:11:57 -04:00:  GET /api/agents/status 200 in 9ms (compile: 2ms, render: 7ms)
2026-03-09 14:11:57 -04:00:  GET /api/agents/status 200 in 4ms (compile: 1197µs, render: 2ms)
2026-03-09 14:11:57 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 20ms (compile: 6ms, render: 15ms)
2026-03-09 14:11:57 -04:00:  GET /api/activity/stats 200 in 8ms (compile: 865µs, render: 7ms)
2026-03-09 14:11:58 -04:00:  GET /api/activity/stats 200 in 5ms (compile: 810µs, render: 4ms)
2026-03-09 14:11:59 -04:00:  GET /api/costs/live 200 in 7ms (compile: 2ms, render: 5ms)
2026-03-09 14:12:04 -04:00:  GET /api/costs/live 200 in 8ms (compile: 2ms, render: 5ms)
2026-03-09 14:12:07 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 12ms (compile: 3ms, render: 9ms)
2026-03-09 14:12:07 -04:00:  GET /api/agents/status 200 in 13ms (compile: 7ms, render: 6ms)
2026-03-09 14:12:07 -04:00:  GET /api/activity/stats 200 in 7ms (compile: 795µs, render: 6ms)
2026-03-09 14:12:09 -04:00:  GET /api/costs/live 200 in 5ms (compile: 1039µs, render: 4ms)
2026-03-09 14:12:14 -04:00:  GET /api/costs/live 200 in 7ms (compile: 2ms, render: 5ms)
2026-03-09 14:12:17 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 11ms (compile: 3ms, render: 9ms)
2026-03-09 14:12:17 -04:00:  GET /api/agents/status 200 in 13ms (compile: 7ms, render: 6ms)
2026-03-09 14:12:17 -04:00:  GET /api/activity/stats 200 in 6ms (compile: 856µs, render: 5ms)
2026-03-09 14:12:19 -04:00:  GET /api/costs/live 200 in 8ms (compile: 2ms, render: 6ms)
2026-03-09 14:12:24 -04:00:  GET /api/costs/live 200 in 7ms (compile: 2ms, render: 5ms)
2026-03-09 14:12:27 -04:00:  GET /api/agents/status 200 in 10ms (compile: 3ms, render: 7ms)
2026-03-09 14:12:27 -04:00:  GET /api/agents/status 200 in 3ms (compile: 769µs, render: 1985µs)
2026-03-09 14:12:27 -04:00:  GET /api/activity/feed?limit=100&since=2026-03-09T04:00:00.000Z 200 in 18ms (compile: 6ms, render: 12ms)
2026-03-09 14:12:27 -04:00:  GET /api/activity/stats 200 in 8ms (compile: 834µs, render: 7ms)
2026-03-09 14:12:28 -04:00:  GET /api/activity/stats 200 in 5ms (compile: 1027µs, render: 4ms)
2026-03-09 14:12:29 -04:00:  GET /api/costs/live 200 in 7ms (compile: 2ms, render: 5ms)
2026-03-09 14:12:34 -04:00:  GET /api/costs/live 200 in 7ms (compile: 2ms, render: 5ms)
2026-03-09 14:12:37 -04:00:  GET /api/agents/status 200 in 10ms (compile: 7ms, render: 3ms)
